,Margrove,Orca Bay,Seabreeze,Tarmire,Darzuac,Gilead,Glaceford,Ravencrest,Defiance,Dras Ashar,Kari'Vir
Aged Meat,100,38,66,98,98,43,45,31,43,74,74
Bakers Basics,51,79,74,43,3,5,93,48,89,51,50
Barbecue Specialty,97,31,70,75,37,80,75,59,80,32,25
Basic Rations,25,3,27,3,89,46,33,62,17,79,16
Berry Basket,76,48,88,82,15,35,65,81,17,38,71
Brined Shank,28,73,12,51,69,72,59,87,43,58,12
Building Materials,23,13,38,16,57,81,10,49,41,40,17
Butcher's Box,77,69,59,94,3,80,53,76,22,63,33
Campfire Roast,10,11,82,49,47,7,53,62,25,10,31
Crafting Basics,67,38,91,32,81,59,54,30,57,48,36
Crisp Produce,30,98,29,91,13,72,44,71,33,94,83
Dairy Delivery,15,16,28,86,19,98,22,85,92,35,56
Exotic Fruits,69,15,23,63,34,26,66,38,53,38,45
Fried Chicken,23,5,73,81,71,37,69,95,59,78,33
Fruit Basket,57,99,69,70,14,90,44,15,43,68,3
General Spices,33,67,47,12,52,62,67,53,9,24,47
Glaceforde Explorers Kit,93,64,84,80,31,42,90,76,59,45,85
Juicers Box,79,53,19,94,85,74,7,10,32,55,10
Kabbar's Omelets,49,49,54,81,96,50,86,14,28,53,66
Kindling Kit,78,70,3,8,83,83,78,86,1,2,85
Margrove Ale Ingredients,41,45,15,4,91,9,98,28,57,73,55
Noble Delicacies,80,49,26,98,95,78,35,95,7,19,75
Pickled Vegetables,76,66,21,0,6,15,53,31,54,21,18
Pie Making Kit,6,18,86,43,35,87,97,42,51,75,78
Ravencrest Finest Wears,50,35,81,57,17,73,0,20,48,99,42
Ravencrest Greens,26,85,3,11,80,22,45,68,49,47,70
Rohna Smoked Ham,7,61,34,63,30,45,9,26,10,50,40
Sailor's Remedy,47,19,70,98,29,17,76,6,88,0,99
Sajecho Fruit Basket,77,71,41,16,77,45,50,12,94,43,40
Sajecho's Spices,69,84,74,94,48,52,9,16,44,23,24
Seabreeze Rum,13,83,18,7,91,42,74,20,49,50,8
Settler's Rations,26,38,43,2,12,78,61,75,30,14,37
Slums Provisions,78,36,81,53,58,53,99,5,12,31,9
Sombreshade's Pie,37,93,54,93,93,71,79,66,53,28,89
Strawberry Cakes,40,24,10,47,67,10,70,72,87,41,26
Vegetable Stew,53,92,84,65,85,5,34,13,43,1,83
Winemakers Kit,88,41,62,67,37,97,54,74,3,50,3
